--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Bamako Mali (Havana)? : Cuba
convenient inconvenient (tasteful)? : distasteful
convenient inconvenient (acceptable)? : unacceptable
convenient inconvenient (aware)? : unaware
convenient inconvenient (comfortable)? : uncomfortable
convenient inconvenient (competitive)? : uncompetitive
decided undecided (fortunate)? : unfortunate
decided undecided (honest)? : dishonest
decided undecided (informed)? : uninformed
decided undecided (likely)? : unlikely
decided undecided (logical)? : illogical
decided undecided (pleasant)? : unpleasant
decided undecided (possible)? : impossible
decided undecided (reasonable)? : unreasonable
decided undecided (tasteful)? : distasteful
decided undecided (acceptable)? : unacceptable
decided undecided (aware)? : unaware
decided undecided (comfortable)? : uncomfortable
decided undecided (competitive)? : uncompetitive
decided undecided (consistent)? : inconsistent
decided undecided (convenient)? : inconvenient
efficient inefficient (ethical)? : unethical
efficient inefficient (fortunate)? : unfortunate
efficient inefficient (honest)? : dishonest
efficient inefficient (informed)? : uninformed
efficient inefficient (likely)? : unlikely
efficient inefficient (pleasant)? : unpleasant
efficient inefficient (possible)? : impossible
efficient inefficient (possibly)? : impossibly
efficient inefficient (rational)? : irrational
efficient inefficient (reasonable)? : unreasonable
efficient inefficient (tasteful)? : distasteful
efficient inefficient (acceptable)? : unacceptable
efficient inefficient (aware)? : unaware
efficient inefficient (comfortable)? : uncomfortable
efficient inefficient (convenient)? : inconvenient
ethical unethical (fortunate)? : unfortunate
ethical unethical (informed)? : uninformed
ethical unethical (likely)? : unlikely
ethical unethical (pleasant)? : unpleasant
ethical unethical (possible)? : impossible
ethical unethical (possibly)? : impossibly
ethical unethical (rational)? : irrational
ethical unethical (reasonable)? : unreasonable
ethical unethical (responsible)? : irresponsible
ethical unethical (tasteful)? : distasteful
ethical unethical (acceptable)? : unacceptable
ethical unethical (aware)? : unaware
ethical unethical (comfortable)? : uncomfortable
ethical unethical (competitive)? : uncompetitive
ethical unethical (consistent)? : inconsistent
ethical unethical (convenient)? : inconvenient
fortunate unfortunate (honest)? : dishonest
fortunate unfortunate (informed)? : uninformed
fortunate unfortunate (likely)? : unlikely
fortunate unfortunate (logical)? : illogical
fortunate unfortunate (pleasant)? : unpleasant
fortunate unfortunate (possible)? : impossible
fortunate unfortunate (possibly)? : impossibly
fortunate unfortunate (productive)? : unproductive
fortunate unfortunate (rational)? : irrational
fortunate unfortunate (reasonable)? : unreasonable
fortunate unfortunate (responsible)? : irresponsible
fortunate unfortunate (tasteful)? : distasteful
fortunate unfortunate (acceptable)? : unacceptable
fortunate unfortunate (aware)? : unaware
fortunate unfortunate (comfortable)? : uncomfortable
fortunate unfortunate (competitive)? : uncompetitive
fortunate unfortunate (consistent)? : inconsistent
fortunate unfortunate (convenient)? : inconvenient
fortunate unfortunate (ethical)? : unethical
honest dishonest (informed)? : uninformed
honest dishonest (likely)? : unlikely
honest dishonest (logical)? : illogical
honest dishonest (pleasant)? : unpleasant
honest dishonest (possible)? : impossible
honest dishonest (possibly)? : impossibly
honest dishonest (productive)? : unproductive
honest dishonest (rational)? : irrational
honest dishonest (reasonable)? : unreasonable
honest dishonest (responsible)? : irresponsible
honest dishonest (tasteful)? : distasteful
honest dishonest (acceptable)? : unacceptable
honest dishonest (aware)? : unaware
honest dishonest (comfortable)? : uncomfortable
honest dishonest (competitive)? : uncompetitive
honest dishonest (consistent)? : inconsistent
honest dishonest (convenient)? : inconvenient
honest dishonest (efficient)? : inefficient
honest dishonest (ethical)? : unethical
honest dishonest (fortunate)? : unfortunate
impressive unimpressive (likely)? : unlikely
impressive unimpressive (pleasant)? : unpleasant
impressive unimpressive (possible)? : impossible
impressive unimpressive (rational)? : irrational
impressive unimpressive (reasonable)? : unreasonable
impressive unimpressive (tasteful)? : distasteful
impressive unimpressive (acceptable)? : unacceptable
impressive unimpressive (aware)? : unaware
impressive unimpressive (comfortable)? : uncomfortable
impressive unimpressive (consistent)? : inconsistent
impressive unimpressive (convenient)? : inconvenient
impressive unimpressive (fortunate)? : unfortunate
impressive unimpressive (honest)? : dishonest
informative uninformative (likely)? : unlikely
informative uninformative (logical)? : illogical
informative uninformative (pleasant)? : unpleasant
informative uninformative (possible)? : impossible
informative uninformative (possibly)? : impossibly
informative uninformative (productive)? : unproductive
informative uninformative (rational)? : irrational
informative uninformative (reasonable)? : unreasonable
informative uninformative (responsible)? : irresponsible
informative uninformative (tasteful)? : distasteful
informative uninformative (acceptable)? : unacceptable
informative uninformative (aware)? : unaware
informative uninformative (comfortable)? : uncomfortable
informative uninformative (competitive)? : uncompetitive
informative uninformative (consistent)? : inconsistent
informative uninformative (convenient)? : inconvenient
informative uninformative (efficient)? : inefficient
informative uninformative (ethical)? : unethical
informative uninformative (fortunate)? : unfortunate
informative uninformative (honest)? : dishonest
informed uninformed (likely)? : unlikely
informed uninformed (logical)? : illogical
informed uninformed (pleasant)? : unpleasant
informed uninformed (possible)? : impossible
informed uninformed (possibly)? : impossibly
informed uninformed (rational)? : irrational
informed uninformed (reasonable)? : unreasonable
informed uninformed (tasteful)? : distasteful
informed uninformed (acceptable)? : unacceptable
informed uninformed (aware)? : unaware
informed uninformed (comfortable)? : uncomfortable
informed uninformed (competitive)? : uncompetitive
informed uninformed (consistent)? : inconsistent
informed uninformed (convenient)? : inconvenient
informed uninformed (ethical)? : unethical
informed uninformed (fortunate)? : unfortunate
informed uninformed (honest)? : dishonest
known unknown (likely)? : unlikely
known unknown (productive)? : unproductive
known unknown (reasonable)? : unreasonable
known unknown (tasteful)? : distasteful
known unknown (acceptable)? : unacceptable
known unknown (comfortable)? : uncomfortable
known unknown (competitive)? : uncompetitive
known unknown (convenient)? : inconvenient
known unknown (ethical)? : unethical
known unknown (honest)? : dishonest
known unknown (informed)? : uninformed
likely unlikely (logical)? : illogical
likely unlikely (pleasant)? : unpleasant
likely unlikely (possible)? : impossible
likely unlikely (possibly)? : impossibly
likely unlikely (productive)? : unproductive
likely unlikely (rational)? : irrational
likely unlikely (reasonable)? : unreasonable
likely unlikely (responsible)? : irresponsible
likely unlikely (tasteful)? : distasteful
likely unlikely (acceptable)? : unacceptable
likely unlikely (aware)? : unaware
likely unlikely (comfortable)? : uncomfortable
likely unlikely (competitive)? : uncompetitive
likely unlikely (consistent)? : inconsistent
likely unlikely (convenient)? : inconvenient
likely unlikely (efficient)? : inefficient
likely unlikely (ethical)? : unethical
likely unlikely (fortunate)? : unfortunate
likely unlikely (honest)? : dishonest
likely unlikely (informed)? : uninformed
logical illogical (pleasant)? : unpleasant
logical illogical (possible)? : impossible
logical illogical (possibly)? : impossibly
logical illogical (productive)? : unproductive
logical illogical (rational)? : irrational
logical illogical (reasonable)? : unreasonable
logical illogical (responsible)? : irresponsible
logical illogical (tasteful)? : distasteful
logical illogical (acceptable)? : unacceptable
logical illogical (aware)? : unaware
logical illogical (comfortable)? : uncomfortable
logical illogical (competitive)? : uncompetitive
logical illogical (consistent)? : inconsistent
logical illogical (convenient)? : inconvenient
logical illogical (efficient)? : inefficient
logical illogical (ethical)? : unethical
logical illogical (fortunate)? : unfortunate
logical illogical (honest)? : dishonest
logical illogical (informed)? : uninformed
logical illogical (likely)? : unlikely
pleasant unpleasant (possible)? : impossible
pleasant unpleasant (possibly)? : impossibly
pleasant unpleasant (productive)? : unproductive
pleasant unpleasant (rational)? : irrational
pleasant unpleasant (reasonable)? : unreasonable
pleasant unpleasant (responsible)? : irresponsible
pleasant unpleasant (tasteful)? : distasteful
pleasant unpleasant (acceptable)? : unacceptable
pleasant unpleasant (aware)? : unaware
pleasant unpleasant (comfortable)? : uncomfortable
pleasant unpleasant (competitive)? : uncompetitive
pleasant unpleasant (consistent)? : inconsistent
pleasant unpleasant (convenient)? : inconvenient
pleasant unpleasant (fortunate)? : unfortunate
pleasant unpleasant (honest)? : dishonest
pleasant unpleasant (informed)? : uninformed
pleasant unpleasant (likely)? : unlikely
pleasant unpleasant (logical)? : illogical
possible impossible (productive)? : unproductive
possible impossible (rational)? : irrational
possible impossible (reasonable)? : unreasonable
possible impossible (tasteful)? : distasteful
possible impossible (acceptable)? : unacceptable
possible impossible (aware)? : unaware
possible impossible (comfortable)? : uncomfortable
possible impossible (consistent)? : inconsistent
possible impossible (convenient)? : inconvenient
possible impossible (ethical)? : unethical
possible impossible (fortunate)? : unfortunate
possible impossible (honest)? : dishonest
possible impossible (informed)? : uninformed
possible impossible (likely)? : unlikely
possible impossible (pleasant)? : unpleasant
possibly impossibly (productive)? : unproductive
possibly impossibly (rational)? : irrational
possibly impossibly (reasonable)? : unreasonable
possibly impossibly (tasteful)? : distasteful
possibly impossibly (acceptable)? : unacceptable
possibly impossibly (aware)? : unaware
possibly impossibly (comfortable)? : uncomfortable
possibly impossibly (consistent)? : inconsistent
possibly impossibly (convenient)? : inconvenient
possibly impossibly (efficient)? : inefficient
possibly impossibly (fortunate)? : unfortunate
possibly impossibly (honest)? : dishonest
possibly impossibly (informed)? : uninformed
possibly impossibly (likely)? : unlikely
possibly impossibly (logical)? : illogical
possibly impossibly (pleasant)? : unpleasant
productive unproductive (rational)? : irrational
productive unproductive (reasonable)? : unreasonable
productive unproductive (tasteful)? : distasteful
productive unproductive (acceptable)? : unacceptable
productive unproductive (aware)? : unaware
productive unproductive (comfortable)? : uncomfortable
productive unproductive (competitive)? : uncompetitive
productive unproductive (convenient)? : inconvenient
productive unproductive (fortunate)? : unfortunate
productive unproductive (honest)? : dishonest
productive unproductive (informed)? : uninformed
productive unproductive (likely)? : unlikely
productive unproductive (logical)? : illogical
productive unproductive (pleasant)? : unpleasant
productive unproductive (possible)? : impossible
rational irrational (reasonable)? : unreasonable
rational irrational (responsible)? : irresponsible
rational irrational (tasteful)? : distasteful
rational irrational (acceptable)? : unacceptable
rational irrational (aware)? : unaware
rational irrational (comfortable)? : uncomfortable
rational irrational (competitive)? : uncompetitive
rational irrational (consistent)? : inconsistent
rational irrational (convenient)? : inconvenient
rational irrational (ethical)? : unethical
rational irrational (fortunate)? : unfortunate
rational irrational (honest)? : dishonest
rational irrational (informed)? : uninformed
rational irrational (likely)? : unlikely
rational irrational (logical)? : illogical
rational irrational (pleasant)? : unpleasant
rational irrational (possible)? : impossible
rational irrational (possibly)? : impossibly
rational irrational (productive)? : unproductive
reasonable unreasonable (responsible)? : irresponsible
reasonable unreasonable (tasteful)? : distasteful
reasonable unreasonable (acceptable)? : unacceptable
reasonable unreasonable (aware)? : unaware
reasonable unreasonable (comfortable)? : uncomfortable
reasonable unreasonable (competitive)? : uncompetitive
reasonable unreasonable (consistent)? : inconsistent
reasonable unreasonable (convenient)? : inconvenient
reasonable unreasonable (ethical)? : unethical
reasonable unreasonable (fortunate)? : unfortunate
reasonable unreasonable (honest)? : dishonest
reasonable unreasonable (informed)? : uninformed
reasonable unreasonable (likely)? : unlikely
reasonable unreasonable (logical)? : illogical
reasonable unreasonable (pleasant)? : unpleasant
reasonable unreasonable (possible)? : impossible
reasonable unreasonable (possibly)? : impossibly
reasonable unreasonable (productive)? : unproductive
reasonable unreasonable (rational)? : irrational
responsible irresponsible (tasteful)? : distasteful
responsible irresponsible (acceptable)? : unacceptable
responsible irresponsible (aware)? : unaware
responsible irresponsible (comfortable)? : uncomfortable
responsible irresponsible (competitive)? : uncompetitive
responsible irresponsible (convenient)? : inconvenient
responsible irresponsible (efficient)? : inefficient
responsible irresponsible (ethical)? : unethical
responsible irresponsible (fortunate)? : unfortunate
responsible irresponsible (honest)? : dishonest
responsible irresponsible (informed)? : uninformed
responsible irresponsible (likely)? : unlikely
responsible irresponsible (pleasant)? : unpleasant
responsible irresponsible (possible)? : impossible
responsible irresponsible (rational)? : irrational
responsible irresponsible (reasonable)? : unreasonable
sure unsure (tasteful)? : distasteful
sure unsure (acceptable)? : unacceptable
sure unsure (comfortable)? : uncomfortable
sure unsure (competitive)? : uncompetitive
sure unsure (convenient)? : inconvenient
sure unsure (honest)? : dishonest
sure unsure (informed)? : uninformed
sure unsure (likely)? : unlikely
sure unsure (logical)? : illogical
sure unsure (pleasant)? : unpleasant
sure unsure (possible)? : impossible
sure unsure (reasonable)? : unreasonable
sure unsure (responsible)? : irresponsible
tasteful distasteful (acceptable)? : unacceptable
tasteful distasteful (aware)? : unaware
tasteful distasteful (comfortable)? : uncomfortable
tasteful distasteful (competitive)? : uncompetitive
tasteful distasteful (consistent)? : inconsistent
tasteful distasteful (convenient)? : inconvenient
tasteful distasteful (ethical)? : unethical
tasteful distasteful (fortunate)? : unfortunate
tasteful distasteful (honest)? : dishonest
tasteful distasteful (informed)? : uninformed
tasteful distasteful (likely)? : unlikely
tasteful distasteful (logical)? : illogical
tasteful distasteful (pleasant)? : unpleasant
tasteful distasteful (possible)? : impossible
tasteful distasteful (possibly)? : impossibly
tasteful distasteful (productive)? : unproductive
tasteful distasteful (rational)? : irrational
tasteful distasteful (reasonable)? : unreasonable
tasteful distasteful (responsible)? : irresponsible

--------------------- gram3-comparative.txt---------------------
bad worse (deep)? : deeper
bad worse (easy)? : easier
bad worse (quick)? : quicker
bad worse (wide)? : wider
big bigger (bright)? : brighter
big bigger (deep)? : deeper
big bigger (easy)? : easier
big bigger (quick)? : quicker
big bigger (smart)? : smarter
big bigger (strong)? : stronger
big bigger (tight)? : tighter
big bigger (tough)? : tougher
big bigger (wide)? : wider
bright brighter (cheap)? : cheaper
bright brighter (cool)? : cooler
bright brighter (deep)? : deeper
bright brighter (easy)? : easier
bright brighter (fast)? : faster
bright brighter (high)? : higher
bright brighter (loud)? : louder
bright brighter (quick)? : quicker
bright brighter (simple)? : simpler
bright brighter (small)? : smaller
bright brighter (smart)? : smarter
bright brighter (strong)? : stronger
bright brighter (tall)? : taller
bright brighter (tight)? : tighter
bright brighter (tough)? : tougher
bright brighter (weak)? : weaker
bright brighter (wide)? : wider
cheap cheaper (deep)? : deeper
cheap cheaper (easy)? : easier
cheap cheaper (fast)? : faster
cheap cheaper (hard)? : harder
cheap cheaper (high)? : higher
cheap cheaper (loud)? : louder
cheap cheaper (quick)? : quicker
cheap cheaper (small)? : smaller
cheap cheaper (smart)? : smarter
cheap cheaper (strong)? : stronger
cheap cheaper (tall)? : taller
cheap cheaper (tight)? : tighter
cheap cheaper (tough)? : tougher
cheap cheaper (weak)? : weaker
cheap cheaper (wide)? : wider
cheap cheaper (bright)? : brighter
cold colder (deep)? : deeper
cold colder (easy)? : easier
cold colder (fast)? : faster
cold colder (hard)? : harder
cold colder (large)? : larger
cold colder (loud)? : louder
cold colder (quick)? : quicker
cold colder (simple)? : simpler
cold colder (small)? : smaller
cold colder (smart)? : smarter
cold colder (strong)? : stronger
cold colder (tall)? : taller
cold colder (tight)? : tighter
cold colder (tough)? : tougher
cold colder (weak)? : weaker
cold colder (wide)? : wider
cold colder (bright)? : brighter
cold colder (cheap)? : cheaper
cool cooler (deep)? : deeper
cool cooler (easy)? : easier
cool cooler (fast)? : faster
cool cooler (hard)? : harder
cool cooler (heavy)? : heavier
cool cooler (large)? : larger
cool cooler (loud)? : louder
cool cooler (quick)? : quicker
cool cooler (simple)? : simpler
cool cooler (small)? : smaller
cool cooler (smart)? : smarter
cool cooler (strong)? : stronger
cool cooler (tall)? : taller
cool cooler (tight)? : tighter
cool cooler (tough)? : tougher
cool cooler (weak)? : weaker
cool cooler (wide)? : wider
cool cooler (bright)? : brighter
cool cooler (cheap)? : cheaper
deep deeper (easy)? : easier
deep deeper (fast)? : faster
deep deeper (hard)? : harder
deep deeper (heavy)? : heavier
deep deeper (high)? : higher
deep deeper (large)? : larger
deep deeper (loud)? : louder
deep deeper (quick)? : quicker
deep deeper (simple)? : simpler
deep deeper (slow)? : slower
deep deeper (small)? : smaller
deep deeper (smart)? : smarter
deep deeper (strong)? : stronger
deep deeper (tall)? : taller
deep deeper (tight)? : tighter
deep deeper (tough)? : tougher
deep deeper (weak)? : weaker
deep deeper (wide)? : wider
deep deeper (bright)? : brighter
deep deeper (cheap)? : cheaper
deep deeper (cool)? : cooler
easy easier (fast)? : faster
easy easier (hard)? : harder
easy easier (loud)? : louder
easy easier (quick)? : quicker
easy easier (simple)? : simpler
easy easier (small)? : smaller
easy easier (smart)? : smarter
easy easier (strong)? : stronger
easy easier (tight)? : tighter
easy easier (tough)? : tougher
easy easier (weak)? : weaker
easy easier (wide)? : wider
easy easier (young)? : younger
easy easier (bright)? : brighter
easy easier (cheap)? : cheaper
easy easier (deep)? : deeper
fast faster (hard)? : harder
fast faster (large)? : larger
fast faster (loud)? : louder
fast faster (quick)? : quicker
fast faster (simple)? : simpler
fast faster (small)? : smaller
fast faster (smart)? : smarter
fast faster (strong)? : stronger
fast faster (tall)? : taller
fast faster (tight)? : tighter
fast faster (tough)? : tougher
fast faster (weak)? : weaker
fast faster (wide)? : wider
fast faster (bright)? : brighter
fast faster (cheap)? : cheaper
fast faster (cool)? : cooler
fast faster (deep)? : deeper
fast faster (easy)? : easier
good better (strong)? : stronger
good better (weak)? : weaker
good better (deep)? : deeper
good better (easy)? : easier
great greater (bright)? : brighter
great greater (deep)? : deeper
hard harder (high)? : higher
hard harder (large)? : larger
hard harder (loud)? : louder
hard harder (old)? : older
hard harder (quick)? : quicker
hard harder (sharp)? : sharper
hard harder (simple)? : simpler
hard harder (slow)? : slower
hard harder (small)? : smaller
hard harder (smart)? : smarter
hard harder (strong)? : stronger
hard harder (tall)? : taller
hard harder (tight)? : tighter
hard harder (tough)? : tougher
hard harder (weak)? : weaker
hard harder (wide)? : wider
hard harder (bright)? : brighter
hard harder (cheap)? : cheaper
hard harder (cool)? : cooler
hard harder (deep)? : deeper
hard harder (easy)? : easier
hard harder (fast)? : faster
heavy heavier (quick)? : quicker
heavy heavier (simple)? : simpler
heavy heavier (small)? : smaller
heavy heavier (smart)? : smarter
heavy heavier (strong)? : stronger
heavy heavier (tight)? : tighter
heavy heavier (tough)? : tougher
heavy heavier (weak)? : weaker
heavy heavier (wide)? : wider
heavy heavier (cheap)? : cheaper
heavy heavier (deep)? : deeper
heavy heavier (easy)? : easier
heavy heavier (fast)? : faster
heavy heavier (hard)? : harder
high higher (loud)? : louder
high higher (quick)? : quicker
high higher (simple)? : simpler
high higher (small)? : smaller
high higher (smart)? : smarter
high higher (strong)? : stronger
high higher (tall)? : taller
high higher (tight)? : tighter
high higher (tough)? : tougher
high higher (weak)? : weaker
high higher (wide)? : wider
high higher (bright)? : brighter
high higher (cheap)? : cheaper
high higher (deep)? : deeper
high higher (easy)? : easier
high higher (fast)? : faster
high higher (hard)? : harder
hot hotter (large)? : larger
hot hotter (loud)? : louder
hot hotter (quick)? : quicker
hot hotter (simple)? : simpler
hot hotter (small)? : smaller
hot hotter (smart)? : smarter
hot hotter (strong)? : stronger
hot hotter (tight)? : tighter
hot hotter (tough)? : tougher
hot hotter (weak)? : weaker
hot hotter (wide)? : wider
hot hotter (cheap)? : cheaper
hot hotter (deep)? : deeper
hot hotter (easy)? : easier
hot hotter (fast)? : faster
hot hotter (hard)? : harder
large larger (loud)? : louder
large larger (quick)? : quicker
large larger (smart)? : smarter
large larger (strong)? : stronger
large larger (tall)? : taller
large larger (tight)? : tighter
large larger (tough)? : tougher
large larger (weak)? : weaker
large larger (wide)? : wider
large larger (bright)? : brighter
large larger (cheap)? : cheaper
large larger (deep)? : deeper
large larger (easy)? : easier
large larger (fast)? : faster
large larger (hard)? : harder
long longer (loud)? : louder
long longer (simple)? : simpler
long longer (small)? : smaller
long longer (smart)? : smarter
long longer (tall)? : taller
long longer (tight)? : tighter
long longer (tough)? : tougher
long longer (wide)? : wider
long longer (bright)? : brighter
long longer (cheap)? : cheaper
long longer (deep)? : deeper
long longer (easy)? : easier
long longer (fast)? : faster
long longer (large)? : larger
loud louder (quick)? : quicker
loud louder (simple)? : simpler
loud louder (small)? : smaller
loud louder (smart)? : smarter
loud louder (strong)? : stronger
loud louder (tight)? : tighter
loud louder (tough)? : tougher
loud louder (weak)? : weaker
loud louder (wide)? : wider
loud louder (young)? : younger
loud louder (bright)? : brighter
loud louder (cheap)? : cheaper
loud louder (cool)? : cooler
loud louder (deep)? : deeper
loud louder (easy)? : easier
loud louder (fast)? : faster
loud louder (hard)? : harder
loud louder (high)? : higher
loud louder (large)? : larger
low lower (quick)? : quicker
low lower (smart)? : smarter
low lower (strong)? : stronger
low lower (tight)? : tighter
low lower (tough)? : tougher
low lower (bright)? : brighter
low lower (cheap)? : cheaper
low lower (deep)? : deeper
low lower (loud)? : louder
new newer (quick)? : quicker
new newer (simple)? : simpler
new newer (smart)? : smarter
new newer (tight)? : tighter
new newer (tough)? : tougher
new newer (weak)? : weaker
new newer (wide)? : wider
new newer (cool)? : cooler
new newer (deep)? : deeper
new newer (easy)? : easier
new newer (fast)? : faster
old older (quick)? : quicker
old older (small)? : smaller
old older (tall)? : taller
old older (tight)? : tighter
old older (tough)? : tougher
old older (weak)? : weaker
old older (wide)? : wider
old older (cool)? : cooler
old older (deep)? : deeper
old older (easy)? : easier
old older (hard)? : harder
quick quicker (simple)? : simpler
quick quicker (small)? : smaller
quick quicker (smart)? : smarter
quick quicker (strong)? : stronger
quick quicker (tall)? : taller
quick quicker (tight)? : tighter
quick quicker (tough)? : tougher
quick quicker (weak)? : weaker
quick quicker (wide)? : wider
quick quicker (bright)? : brighter
quick quicker (cheap)? : cheaper
quick quicker (deep)? : deeper
quick quicker (easy)? : easier
quick quicker (fast)? : faster
quick quicker (hard)? : harder
quick quicker (large)? : larger
quick quicker (loud)? : louder
safe safer (small)? : smaller
safe safer (smart)? : smarter
safe safer (tall)? : taller
safe safer (tight)? : tighter
safe safer (weak)? : weaker
safe safer (cool)? : cooler
safe safer (deep)? : deeper
safe safer (easy)? : easier
safe safer (fast)? : faster
safe safer (quick)? : quicker
sharp sharper (smart)? : smarter
sharp sharper (strong)? : stronger
sharp sharper (tight)? : tighter
sharp sharper (tough)? : tougher
sharp sharper (weak)? : weaker
sharp sharper (wide)? : wider
sharp sharper (bright)? : brighter
sharp sharper (cheap)? : cheaper
sharp sharper (cool)? : cooler
sharp sharper (deep)? : deeper
sharp sharper (easy)? : easier
sharp sharper (fast)? : faster
sharp sharper (hard)? : harder
sharp sharper (heavy)? : heavier
sharp sharper (loud)? : louder
sharp sharper (quick)? : quicker
short shorter (smart)? : smarter
short shorter (tall)? : taller
short shorter (tight)? : tighter
short shorter (tough)? : tougher
short shorter (wide)? : wider
short shorter (deep)? : deeper
short shorter (easy)? : easier
simple simpler (small)? : smaller
simple simpler (smart)? : smarter
simple simpler (strong)? : stronger
simple simpler (tall)? : taller
simple simpler (tight)? : tighter
simple simpler (tough)? : tougher
simple simpler (weak)? : weaker
simple simpler (wide)? : wider
simple simpler (bright)? : brighter
simple simpler (cheap)? : cheaper
simple simpler (deep)? : deeper
simple simpler (easy)? : easier
simple simpler (fast)? : faster
simple simpler (hard)? : harder
simple simpler (high)? : higher
simple simpler (large)? : larger
simple simpler (loud)? : louder
simple simpler (quick)? : quicker
slow slower (smart)? : smarter
slow slower (strong)? : stronger
slow slower (tight)? : tighter
slow slower (tough)? : tougher
slow slower (weak)? : weaker
slow slower (wide)? : wider
slow slower (bright)? : brighter
slow slower (cheap)? : cheaper
slow slower (deep)? : deeper
slow slower (easy)? : easier
slow slower (fast)? : faster
slow slower (hard)? : harder
slow slower (loud)? : louder
slow slower (quick)? : quicker
small smaller (smart)? : smarter
small smaller (strong)? : stronger
small smaller (tall)? : taller
small smaller (tight)? : tighter
small smaller (tough)? : tougher
small smaller (weak)? : weaker
small smaller (wide)? : wider
small smaller (bright)? : brighter
small smaller (cheap)? : cheaper
small smaller (deep)? : deeper
small smaller (easy)? : easier
small smaller (fast)? : faster
small smaller (hard)? : harder
small smaller (loud)? : louder
small smaller (quick)? : quicker
small smaller (simple)? : simpler
smart smarter (strong)? : stronger
smart smarter (tall)? : taller
smart smarter (tight)? : tighter
smart smarter (tough)? : tougher
smart smarter (weak)? : weaker
smart smarter (wide)? : wider
smart smarter (bright)? : brighter
smart smarter (cheap)? : cheaper
smart smarter (deep)? : deeper
smart smarter (easy)? : easier
smart smarter (fast)? : faster
smart smarter (hard)? : harder
smart smarter (high)? : higher
smart smarter (large)? : larger
smart smarter (loud)? : louder
smart smarter (quick)? : quicker
smart smarter (sharp)? : sharper
smart smarter (simple)? : simpler
smart smarter (slow)? : slower
smart smarter (small)? : smaller
strong stronger (tall)? : taller
strong stronger (tight)? : tighter
strong stronger (tough)? : tougher
strong stronger (weak)? : weaker
strong stronger (wide)? : wider
strong stronger (bright)? : brighter
strong stronger (cheap)? : cheaper
strong stronger (cool)? : cooler
strong stronger (deep)? : deeper
strong stronger (easy)? : easier
strong stronger (fast)? : faster
strong stronger (hard)? : harder
strong stronger (high)? : higher
strong stronger (loud)? : louder
strong stronger (quick)? : quicker
strong stronger (simple)? : simpler
strong stronger (small)? : smaller
strong stronger (smart)? : smarter
tall taller (tight)? : tighter
tall taller (tough)? : tougher
tall taller (weak)? : weaker
tall taller (wide)? : wider
tall taller (bright)? : brighter
tall taller (cheap)? : cheaper
tall taller (cool)? : cooler
tall taller (deep)? : deeper
tall taller (easy)? : easier
tall taller (fast)? : faster
tall taller (hard)? : harder
tall taller (high)? : higher
tall taller (large)? : larger
tall taller (loud)? : louder
tall taller (quick)? : quicker
tall taller (simple)? : simpler
tall taller (slow)? : slower
tall taller (small)? : smaller
tall taller (smart)? : smarter
tall taller (strong)? : stronger
tight tighter (tough)? : tougher
tight tighter (weak)? : weaker
tight tighter (wide)? : wider
tight tighter (cheap)? : cheaper
tight tighter (deep)? : deeper
tight tighter (easy)? : easier
tight tighter (fast)? : faster
tight tighter (hard)? : harder
tight tighter (large)? : larger
tight tighter (quick)? : quicker
tight tighter (simple)? : simpler
tight tighter (small)? : smaller
tight tighter (smart)? : smarter
tight tighter (strong)? : stronger
tight tighter (tall)? : taller
tough tougher (weak)? : weaker
tough tougher (wide)? : wider
tough tougher (bright)? : brighter
tough tougher (cheap)? : cheaper
tough tougher (deep)? : deeper
tough tougher (easy)? : easier
tough tougher (fast)? : faster
tough tougher (hard)? : harder
tough tougher (large)? : larger
tough tougher (loud)? : louder
tough tougher (simple)? : simpler
tough tougher (small)? : smaller
tough tougher (smart)? : smarter
tough tougher (strong)? : stronger
tough tougher (tall)? : taller
tough tougher (tight)? : tighter
warm warmer (weak)? : weaker
warm warmer (wide)? : wider
warm warmer (young)? : younger
warm warmer (bright)? : brighter
warm warmer (cheap)? : cheaper
warm warmer (deep)? : deeper
warm warmer (easy)? : easier
warm warmer (fast)? : faster
warm warmer (hard)? : harder
warm warmer (large)? : larger
warm warmer (loud)? : louder
warm warmer (quick)? : quicker
warm warmer (simple)? : simpler
warm warmer (small)? : smaller
warm warmer (smart)? : smarter
warm warmer (strong)? : stronger
warm warmer (tall)? : taller
warm warmer (tight)? : tighter
warm warmer (tough)? : tougher
weak weaker (wide)? : wider
weak weaker (bright)? : brighter
weak weaker (cheap)? : cheaper
weak weaker (cool)? : cooler
weak weaker (deep)? : deeper
weak weaker (easy)? : easier
weak weaker (fast)? : faster
weak weaker (hard)? : harder
weak weaker (high)? : higher
weak weaker (loud)? : louder
weak weaker (quick)? : quicker
weak weaker (simple)? : simpler
weak weaker (small)? : smaller
weak weaker (smart)? : smarter
weak weaker (strong)? : stronger
weak weaker (tall)? : taller
weak weaker (tight)? : tighter
weak weaker (tough)? : tougher
wide wider (young)? : younger
wide wider (bright)? : brighter
wide wider (cheap)? : cheaper
wide wider (cool)? : cooler
wide wider (deep)? : deeper
wide wider (easy)? : easier
wide wider (fast)? : faster
wide wider (hard)? : harder
wide wider (heavy)? : heavier
wide wider (high)? : higher
wide wider (loud)? : louder
wide wider (quick)? : quicker
wide wider (simple)? : simpler
wide wider (small)? : smaller
wide wider (smart)? : smarter
wide wider (strong)? : stronger
